B	
3650	0
3700	0.000501
3750	0.035536
3800	0.112913
3850	0.222723
3900	0.364665
3950	0.512312
4000	0.652252
4050	0.771672
4100	0.856657
4150	0.911011
4200	0.948348
4250	0.974474
4300	0.99049
4350	0.998298
4400	1
4450	0.995696
4500	0.985686
4550	0.966567
4600	0.934234
4650	0.884184
4700	0.812613
4750	0.721321
4800	0.611411
4850	0.496797
4900	0.401301
4950	0.323524
5000	0.245245
5050	0.16957
5100	0.113013
5150	0.075576
5200	0.048849
5250	0.029429
5300	0.017217
5350	0.01031
5400	0.006206
5450	0.003604
5500	0.002102
5550	0.001301
5600	0.000501
5650	0
