lw4	R
607.5	0.0000
612.5	0.0003
617.5	0.0047
622.5	0.0325
627.5	0.1267
632.5	0.3106
637.5	0.5414
642.5	0.7458
647.5	0.8863
652.5	0.9670
657.5	1.0000
662.5	0.9987
667.5	0.9838
672.5	0.9602
677.5	0.9290
682.5	0.9018
687.5	0.8750
692.5	0.8453
697.5	0.8135
702.5	0.7815
707.5	0.7530
712.5	0.7218
717.5	0.6887
722.5	0.6588
727.5	0.6301
732.5	0.6037
737.5	0.5777
742.5	0.5510
747.5	0.5249
752.5	0.4994
757.5	0.4730
762.5	0.4494
767.5	0.4283
772.5	0.4051
777.5	0.3813
782.5	0.3587
787.5	0.3373
792.5	0.3150
797.5	0.2941
802.5	0.2730
807.5	0.2519
812.5	0.2310
817.5	0.2087
822.5	0.1871
827.5	0.1665
832.5	0.1470
837.5	0.1275
842.5	0.1078
847.5	0.0893
852.5	0.0716
857.5	0.0555
862.5	0.0414
867.5	0.0299
872.5	0.0209
877.5	0.0139
882.5	0.0089
887.5	0.0059
892.5	0.0040
897.5	0.0025
902.5	0.0010
907.5	0.0000
