lw3	V
462.5	0.0000
467.5	0.0003
472.5	0.0030
477.5	0.0122
482.5	0.0384
487.5	0.1024
492.5	0.2218
497.5	0.3883
502.5	0.5749
507.5	0.7425
512.5	0.8635
517.5	0.9384
522.5	0.9812
527.5	1.0000
532.5	0.9971
537.5	0.9787
542.5	0.9495
547.5	0.9115
552.5	0.8641
557.5	0.8165
562.5	0.7646
567.5	0.7125
572.5	0.6607
577.5	0.6005
582.5	0.5438
587.5	0.4914
592.5	0.4360
597.5	0.3811
602.5	0.3305
607.5	0.2785
612.5	0.2308
617.5	0.1943
622.5	0.1634
627.5	0.1364
632.5	0.1130
637.5	0.0920
642.5	0.0728
647.5	0.0568
652.5	0.0439
657.5	0.0333
662.5	0.0254
667.5	0.0189
672.5	0.0139
677.5	0.0099
682.5	0.0069
687.5	0.0050
692.5	0.0034
697.5	0.0025
702.5	0.0014
707.5	0.0010
712.5	0.0005
717.5	0.0000
